text,label
படம் அருமையாக இருந்தது,positive
இந்த உணவகத்தின் சேவை மிகவும் மோசமாக இருந்தது,negative
நாளைய கூட்டம் காலை பத்து மணிக்கு நடைபெறும்,neutral
இயக்குனரின் வேலைப்பாடு சிறப்பாக இருந்தது,positive
டிக்கெட் விலை மிக அதிகமாக இருந்தது ஏமாற்றமாக இருந்தது,negative
இந்த பொருளின் விலை இருநூறு ரூபாய்,neutral
நடிப்பு அபாரமாக இருந்தது மனதை தொட்டது,positive
சேவை தாமதமாக இருந்தது மிகவும் கோபமாக இருந்தேன்,negative
கடை காலை ஒன்பது மணிக்கு திறக்கும்,neutral
பாடல்கள் மிகவும் இனிமையாக இருந்தது,positive
இந்த போனின் பேட்டரி விரைவாக தீர்ந்துவிடுகிறது மிகவும் கஷ்டமாக இருக்கிறது,negative
கூட்டம் நாளை மதியம் மூன்று மணிக்கு நடைபெறும்,neutral
கதை சொல்லும் விதம் அற்புதமாக இருந்தது,positive
பேருந்து தாமதமாக வந்தது பயணம் சிரமமாக இருந்தது,negative
இந்த புத்தகம் நூலகத்தில் கிடைக்கும்,neutral
இசை அமைப்பு அருமையாக இருந்தது மனதை கவர்ந்தது,positive
தயாரிப்பு தரம் மிகவும் குறைவாக இருந்தது ஏமாற்றம்,negative
அலுவலகம் திங்கள் முதல் வெள்ளி வரை திறந்திருக்கும்,neutral
நடிகர்களின் நடிப்பு பாராட்டத்தக்கது,positive
வாடிக்கையாளர் சேவை மிகவும் மோசமாக நடந்துகொண்டது,negative
